Date,Price,Open,High,Low,Vol.,Change %
12-Feb-19,1577.71,"1,570.06","1,582.09","1,570.06",-,0.67%
11-Feb-19,1567.21,"1,561.01","1,575.47","1,561.01",-,0.39%
8-Feb-19,1561.19,"1,570.12","1,573.02","1,557.93",-,-0.80%
7-Feb-19,1573.72,"1,594.70","1,595.46","1,571.29",-,-1.66%
6-Feb-19,1600.35,"1,599.32","1,602.20","1,596.01",-,-0.13%
5-Feb-19,1602.36,"1,581.17","1,603.57","1,581.17",-,1.29%
4-Feb-19,1582.00,"1,583.01","1,585.64","1,575.27",-,-0.28%
1-Feb-19,1586.50,"1,579.95","1,588.27","1,575.50",-,0.25%
31-Jan-19,1582.53,"1,586.43","1,594.05","1,572.53",-,0.53%
30-Jan-19,1574.17,"1,566.48","1,583.64","1,566.48",-,0.50%
29-Jan-19,1566.40,"1,557.11","1,574.25","1,556.79",-,0.62%
28-Jan-19,1556.68,"1,562.28","1,565.59","1,554.25",-,-0.64%
25-Jan-19,1566.66,"1,553.27","1,569.81","1,553.27",-,1.00%
24-Jan-19,1551.19,"1,550.20","1,554.69","1,542.76",-,0.02%
23-Jan-19,1550.90,"1,547.47","1,557.92","1,539.81",-,0.12%
22-Jan-19,1549.06,"1,551.54","1,556.30","1,543.74",-,-0.51%
21-Jan-19,1556.94,"1,558.18","1,559.28","1,553.80",-,-0.22%
18-Jan-19,1560.34,"1,540.50","1,562.11","1,540.50",-,1.73%
17-Jan-19,1533.86,"1,531.61","1,538.71","1,524.71",-,-0.11%
16-Jan-19,1535.49,"1,533.79","1,538.63","1,528.55",-,0.12%
15-Jan-19,1533.60,"1,534.74","1,546.15","1,525.01",-,0.04%
14-Jan-19,1532.99,"1,535.23","1,536.07","1,524.00",-,-0.55%
11-Jan-19,1541.53,"1,546.61","1,553.55","1,534.80",-,-0.32%
10-Jan-19,1546.48,"1,540.94","1,546.48","1,531.33",-,0.43%
9-Jan-19,1539.90,"1,530.66","1,546.87","1,530.66",-,1.13%
8-Jan-19,1522.63,"1,511.23","1,531.44","1,511.10",-,0.66%
7-Jan-19,1512.70,"1,516.64","1,518.60","1,504.44",-,0.21%
4-Jan-19,1509.53,"1,472.66","1,511.87","1,472.66",-,2.99%
3-Jan-19,1465.76,"1,470.26","1,474.96","1,459.40",-,-0.58%
2-Jan-19,1474.37,"1,485.65","1,485.65","1,462.24",-,-0.81%
1-Jan-19,1486.40,"1,486.40","1,486.40","1,486.40",-,0.00%
31-Dec-18,1486.40,"1,483.80","1,489.82","1,483.03",-,0.39%
28-Dec-18,1480.57,"1,457.91","1,486.48","1,457.91",-,2.29%
27-Dec-18,1447.41,"1,471.63","1,477.46","1,437.83",-,-1.66%
26-Dec-18,1471.79,"1,470.32","1,472.42","1,464.74",-,-0.14%
25-Dec-18,1473.80,"1,473.80","1,473.80","1,473.80",-,0.00%
24-Dec-18,1473.80,"1,473.91","1,476.70","1,469.23",-,-0.42%
21-Dec-18,1480.01,"1,485.66","1,485.66","1,465.00",-,-0.02%
20-Dec-18,1480.24,"1,496.81","1,497.53","1,476.98",-,-1.47%
19-Dec-18,1502.39,"1,493.98","1,506.88","1,493.98",-,0.80%
18-Dec-18,1490.40,"1,500.67","1,506.61","1,488.94",-,-0.62%
17-Dec-18,1499.76,"1,512.42","1,513.56","1,496.83",-,-0.80%
14-Dec-18,1511.83,"1,525.37","1,525.37","1,500.09",-,-1.07%
13-Dec-18,1528.12,"1,534.99","1,540.32","1,527.56",-,-0.31%
12-Dec-18,1532.80,"1,502.51","1,536.91","1,502.51",-,2.05%
11-Dec-18,1501.99,"1,491.66","1,519.06","1,491.66",-,1.06%
10-Dec-18,1486.19,"1,515.16","1,515.18","1,484.44",-,-2.00%
7-Dec-18,1516.48,"1,506.91","1,533.54","1,506.91",-,0.73%
6-Dec-18,1505.43,"1,541.18","1,541.18","1,498.77",-,-2.74%
5-Dec-18,1547.78,"1,561.59","1,561.59","1,545.49",-,-1.29%
4-Dec-18,1568.05,"1,581.82","1,584.68","1,563.49",-,-0.72%
3-Dec-18,1579.40,"1,574.61","1,597.62","1,574.61",-,1.26%
30-Nov-18,1559.72,"1,570.38","1,570.76","1,557.63",-,-0.72%
29-Nov-18,1571.09,"1,570.39","1,579.25","1,562.42",-,1.15%
28-Nov-18,1553.28,"1,555.75","1,566.92","1,552.42",-,-0.12%
27-Nov-18,1555.13,"1,560.93","1,566.05","1,550.01",-,-0.68%
26-Nov-18,1565.84,"1,551.79","1,572.72","1,551.79",-,1.23%
23-Nov-18,1546.86,"1,550.66","1,555.26","1,537.13",-,-0.22%
22-Nov-18,1550.30,"1,559.25","1,559.25","1,546.29",-,-0.61%
21-Nov-18,1559.82,"1,543.99","1,562.36","1,543.99",-,1.01%
20-Nov-18,1544.24,"1,565.73","1,565.73","1,533.88",-,-1.50%
19-Nov-18,1567.73,"1,575.07","1,586.55","1,566.11",-,-0.24%
16-Nov-18,1571.48,"1,569.11","1,582.12","1,556.28",-,0.49%
15-Nov-18,1563.85,"1,581.95","1,590.32","1,552.49",-,-0.88%
14-Nov-18,1577.79,"1,581.44","1,589.72","1,564.40",-,-0.33%
13-Nov-18,1583.04,"1,569.48","1,586.48","1,568.51",-,0.94%
12-Nov-18,1568.26,"1,585.37","1,593.76","1,564.79",-,-1.83%
9-Nov-18,1597.50,"1,597.78","1,598.41","1,588.10",-,-0.97%
8-Nov-18,1613.18,"1,614.82","1,623.90","1,603.71",-,-0.20%
7-Nov-18,1616.48,"1,600.17","1,623.41","1,600.17",-,1.51%
6-Nov-18,1592.46,"1,599.39","1,601.64","1,588.42",-,-0.18%
5-Nov-18,1595.34,"1,595.27","1,601.75","1,591.18",-,0.09%
2-Nov-18,1593.93,"1,604.82","1,618.39","1,593.42",-,0.09%
1-Nov-18,1592.47,"1,582.47","1,596.41","1,578.86",-,0.97%
31-Oct-18,1577.24,"1,559.68","1,583.30","1,559.68",-,1.43%
30-Oct-18,1555.01,"1,555.93","1,561.74","1,544.55",-,-0.20%
29-Oct-18,1558.19,"1,552.04","1,572.52","1,549.42",-,1.02%
26-Oct-18,1542.44,"1,552.73","1,552.73","1,525.00",-,-0.82%
25-Oct-18,1555.17,"1,546.35","1,557.78","1,535.25",-,0.37%
24-Oct-18,1549.47,"1,563.12","1,571.78","1,546.78",-,-0.81%
23-Oct-18,1562.20,"1,582.37","1,582.37","1,557.95",-,-1.58%
22-Oct-18,1587.28,"1,610.78","1,615.52","1,585.94",-,-0.65%
19-Oct-18,1597.72,"1,593.43","1,602.92","1,582.91",-,0.00%
18-Oct-18,1597.71,"1,605.94","1,618.48","1,592.34",-,-0.87%
17-Oct-18,1611.66,"1,625.71","1,633.00","1,606.12",-,-0.83%
16-Oct-18,1625.20,"1,602.27","1,626.15","1,600.54",-,1.45%
15-Oct-18,1602.03,"1,595.50","1,604.57","1,585.45",-,0.39%
12-Oct-18,1595.80,"1,607.79","1,618.98","1,595.12",-,-0.23%
11-Oct-18,1599.48,"1,619.62","1,619.62","1,596.31",-,-1.77%
10-Oct-18,1628.28,"1,652.05","1,652.05","1,625.76",-,-1.02%
9-Oct-18,1645.10,"1,643.60","1,650.17","1,624.33",-,0.19%
8-Oct-18,1641.93,"1,660.31","1,661.72","1,640.01",-,-1.39%
5-Oct-18,1665.00,"1,679.82","1,679.82","1,663.90",-,-0.94%
4-Oct-18,1680.83,"1,691.62","1,691.62","1,677.10",-,-1.20%
3-Oct-18,1701.30,"1,699.07","1,705.24","1,697.30",-,0.36%
2-Oct-18,1695.28,"1,698.79","1,698.79","1,683.06",-,-0.75%
1-Oct-18,1708.01,"1,702.42","1,716.20","1,702.42",-,-0.07%
28-Sep-18,1709.28,"1,724.25","1,724.25","1,697.48",-,-1.35%
27-Sep-18,1732.74,"1,728.69","1,735.13","1,719.58",-,-0.21%
26-Sep-18,1736.31,"1,734.45","1,742.54","1,727.42",-,-0.01%
25-Sep-18,1736.51,"1,724.80","1,737.57","1,723.09",-,0.42%
24-Sep-18,1729.19,"1,728.92","1,734.54","1,723.25",-,-0.32%
21-Sep-18,1734.81,"1,731.08","1,741.19","1,729.75",-,0.57%
20-Sep-18,1725.05,"1,702.90","1,729.04","1,702.90",-,1.43%
19-Sep-18,1700.77,"1,696.97","1,704.39","1,693.46",-,0.11%
18-Sep-18,1698.88,"1,696.14","1,701.18","1,691.76",-,0.21%
17-Sep-18,1695.38,"1,685.55","1,698.00","1,680.60",-,0.32%
14-Sep-18,1690.03,"1,693.49","1,697.86","1,685.44",-,0.26%
13-Sep-18,1685.57,"1,680.82","1,695.05","1,679.15",-,0.33%
12-Sep-18,1679.97,"1,666.54","1,683.16","1,666.06",-,0.80%
11-Sep-18,1666.63,"1,673.83","1,676.48","1,656.14",-,-0.22%
10-Sep-18,1670.35,"1,654.79","1,674.13","1,653.27",-,0.61%
7-Sep-18,1660.16,"1,668.26","1,669.92","1,649.65",-,-0.32%
6-Sep-18,1665.45,"1,671.11","1,678.71","1,663.15",-,-0.54%
5-Sep-18,1674.56,"1,680.87","1,683.61","1,669.85",-,-0.50%
4-Sep-18,1683.05,"1,700.79","1,704.44","1,676.36",-,-1.29%
3-Sep-18,1705.12,"1,698.20","1,705.14","1,696.94",-,0.03%
31-Aug-18,1704.61,"1,723.11","1,723.11","1,698.06",-,-1.05%
30-Aug-18,1722.65,"1,733.76","1,733.76","1,719.52",-,-0.61%
29-Aug-18,1733.30,"1,727.88","1,736.84","1,720.90",-,0.11%
28-Aug-18,1731.44,"1,731.15","1,738.20","1,727.74",-,0.34%
27-Aug-18,1725.55,"1,706.52","1,728.14","1,706.52",-,0.89%
24-Aug-18,1710.26,"1,701.49","1,711.85","1,700.95",-,0.51%
23-Aug-18,1701.60,"1,703.88","1,708.79","1,696.33",-,-0.39%
22-Aug-18,1708.18,"1,701.04","1,713.34","1,700.28",-,0.64%
21-Aug-18,1697.26,"1,689.66","1,707.19","1,688.78",-,0.98%
20-Aug-18,1680.78,"1,670.72","1,686.69","1,670.72",-,0.78%
17-Aug-18,1667.77,"1,666.45","1,672.51","1,656.99",-,0.07%
16-Aug-18,1666.55,"1,660.69","1,668.93","1,655.92",-,1.16%
15-Aug-18,1647.43,"1,676.50","1,678.49","1,642.57",-,-1.89%
14-Aug-18,1679.17,"1,690.73","1,696.88","1,673.43",-,-0.37%
13-Aug-18,1685.41,"1,684.48","1,690.13","1,674.30",-,-0.39%
10-Aug-18,1692.06,"1,711.18","1,711.18","1,686.32",-,-2.29%
9-Aug-18,1731.79,"1,732.98","1,735.53","1,725.53",-,-0.22%
8-Aug-18,1735.58,"1,737.35","1,739.94","1,730.09",-,-0.10%
7-Aug-18,1737.30,"1,729.54","1,742.83","1,729.54",-,0.78%
6-Aug-18,1723.82,"1,728.83","1,729.53","1,717.15",-,-0.41%
3-Aug-18,1730.84,"1,721.11","1,735.24","1,720.15",-,0.48%
2-Aug-18,1722.51,"1,736.38","1,736.38","1,719.18",-,-1.33%
1-Aug-18,1745.73,"1,756.35","1,757.90","1,743.83",-,-0.72%
31-Jul-18,1758.44,"1,756.57","1,765.55","1,755.11",-,0.13%
30-Jul-18,1756.22,"1,745.85","1,758.80","1,745.43",-,0.21%
27-Jul-18,1752.54,"1,743.57","1,753.72","1,743.50",-,0.34%
26-Jul-18,1746.52,"1,745.14","1,753.36","1,741.26",-,0.66%
25-Jul-18,1735.01,"1,744.80","1,745.16","1,731.78",-,-0.54%
24-Jul-18,1744.49,"1,726.83","1,750.31","1,726.83",-,0.86%
23-Jul-18,1729.60,"1,732.70","1,733.68","1,726.47",-,-0.20%
20-Jul-18,1733.11,"1,726.05","1,737.68","1,715.69",-,0.65%
19-Jul-18,1721.89,"1,726.83","1,729.63","1,718.28",-,-0.46%
18-Jul-18,1729.81,"1,721.02","1,732.46","1,721.02",-,0.23%
17-Jul-18,1725.87,"1,728.98","1,732.86","1,718.39",-,0.03%
