Date,Open,High,Low,Close,Adj Close,Volume
2014-12-12,8.000000,8.000000,8.000000,8.000000,7.316040,0
2014-12-15,7.850000,7.850000,7.850000,7.850000,7.178864,0
2014-12-16,7.930000,7.930000,7.930000,7.930000,7.252024,0
2014-12-17,7.980000,7.980000,7.980000,7.980000,7.297750,0
2014-12-18,8.130000,8.130000,8.130000,8.130000,7.434926,0
2014-12-19,8.140000,8.140000,8.140000,8.140000,7.444071,0
2014-12-22,8.170000,8.170000,8.170000,8.170000,7.471506,0
2014-12-23,8.160000,8.160000,8.160000,8.160000,7.462361,0
2014-12-24,8.170000,8.170000,8.170000,8.170000,7.471506,0
2014-12-26,8.180000,8.180000,8.180000,8.180000,7.480651,0
2014-12-29,8.160000,8.160000,8.160000,8.160000,7.462361,0
2014-12-30,8.090000,8.090000,8.090000,8.090000,7.398345,0
2014-12-31,8.050000,8.050000,8.050000,8.050000,7.361765,0
2015-01-02,8.000000,8.000000,8.000000,8.000000,7.316040,0
2015-01-05,7.810000,7.810000,7.810000,7.810000,7.142284,0
2015-01-06,7.730000,7.730000,7.730000,7.730000,7.069123,0
2015-01-07,7.780000,7.780000,7.780000,7.780000,7.114849,0
2015-01-08,7.930000,7.930000,7.930000,7.930000,7.252024,0
2015-01-09,7.880000,7.880000,7.880000,7.880000,7.206299,0
2015-01-12,7.890000,7.890000,7.890000,7.890000,7.215444,0
2015-01-13,7.920000,7.920000,7.920000,7.920000,7.242880,0
2015-01-14,7.890000,7.890000,7.890000,7.890000,7.215444,0
2015-01-15,7.940000,7.940000,7.940000,7.940000,7.261169,0
2015-01-16,8.020000,8.020000,8.020000,8.020000,7.334331,0
2015-01-20,8.070000,8.070000,8.070000,8.070000,7.380055,0
2015-01-21,8.130000,8.130000,8.130000,8.130000,7.434926,0
2015-01-22,8.170000,8.170000,8.170000,8.170000,7.471506,0
2015-01-23,8.140000,8.140000,8.140000,8.140000,7.444071,0
2015-01-26,8.220000,8.220000,8.220000,8.220000,7.517231,0
2015-01-27,8.230000,8.230000,8.230000,8.230000,7.526375,0
2015-01-28,8.130000,8.130000,8.130000,8.130000,7.434926,0
2015-01-29,8.230000,8.230000,8.230000,8.230000,7.526375,0
2015-01-30,8.130000,8.130000,8.130000,8.130000,7.434926,0
2015-02-02,8.220000,8.220000,8.220000,8.220000,7.517231,0
2015-02-03,8.330000,8.330000,8.330000,8.330000,7.617826,0
2015-02-04,8.300000,8.300000,8.300000,8.300000,7.590391,0
2015-02-05,8.370000,8.370000,8.370000,8.370000,7.654407,0
2015-02-06,8.290000,8.290000,8.290000,8.290000,7.581246,0
2015-02-09,8.220000,8.220000,8.220000,8.220000,7.517231,0
2015-02-10,8.290000,8.290000,8.290000,8.290000,7.581246,0
2015-02-11,8.270000,8.270000,8.270000,8.270000,7.562957,0
2015-02-12,8.420000,8.420000,8.420000,8.420000,7.700132,0
2015-02-13,8.460000,8.460000,8.460000,8.460000,7.736711,0
2015-02-17,8.470000,8.470000,8.470000,8.470000,7.745857,0
2015-02-18,8.520000,8.520000,8.520000,8.520000,7.791582,0
2015-02-19,8.540000,8.540000,8.540000,8.540000,7.809873,0
2015-02-20,8.610000,8.610000,8.610000,8.610000,7.873887,0
2015-02-23,8.570000,8.570000,8.570000,8.570000,7.837306,0
2015-02-24,8.610000,8.610000,8.610000,8.610000,7.873887,0
2015-02-25,8.610000,8.610000,8.610000,8.610000,7.873887,0
2015-02-26,8.580000,8.580000,8.580000,8.580000,7.846452,0
2015-02-27,8.580000,8.580000,8.580000,8.580000,7.846452,0
2015-03-02,8.580000,8.580000,8.580000,8.580000,7.846452,0
2015-03-03,8.520000,8.520000,8.520000,8.520000,7.791582,0
2015-03-04,8.500000,8.500000,8.500000,8.500000,7.773292,0
2015-03-05,8.520000,8.520000,8.520000,8.520000,7.791582,0
2015-03-06,8.410000,8.410000,8.410000,8.410000,7.690986,0
2015-03-09,8.410000,8.410000,8.410000,8.410000,7.690986,0
2015-03-10,8.240000,8.240000,8.240000,8.240000,7.535521,0
2015-03-11,8.260000,8.260000,8.260000,8.260000,7.553811,0
2015-03-12,8.360000,8.360000,8.360000,8.360000,7.645261,0
2015-03-13,8.300000,8.300000,8.300000,8.300000,7.590391,0
2015-03-16,8.430000,8.430000,8.430000,8.430000,7.709277,0
2015-03-17,8.410000,8.410000,8.410000,8.410000,7.690986,0
2015-03-18,8.580000,8.580000,8.580000,8.580000,7.846452,0
2015-03-19,8.480000,8.480000,8.480000,8.480000,7.755002,0
2015-03-20,8.660000,8.660000,8.660000,8.660000,7.919612,0
2015-03-23,8.700000,8.700000,8.700000,8.700000,7.956192,0
2015-03-24,8.680000,8.680000,8.680000,8.680000,7.937903,0
2015-03-25,8.630000,8.630000,8.630000,8.630000,7.892178,0
2015-03-26,8.550000,8.550000,8.550000,8.550000,7.819017,0
2015-03-27,8.560000,8.560000,8.560000,8.560000,7.828162,0
2015-03-30,8.580000,8.580000,8.580000,8.580000,7.846452,0
2015-03-31,8.450000,8.450000,8.450000,8.450000,7.727566,0
2015-04-01,8.500000,8.500000,8.500000,8.500000,7.773292,0
2015-04-02,8.570000,8.570000,8.570000,8.570000,7.837306,0
2015-04-06,8.640000,8.640000,8.640000,8.640000,7.901322,0
2015-04-07,8.670000,8.670000,8.670000,8.670000,7.928758,0
2015-04-08,8.700000,8.700000,8.700000,8.700000,7.956192,0
2015-04-09,8.710000,8.710000,8.710000,8.710000,7.965337,0
2015-04-10,8.730000,8.730000,8.730000,8.730000,7.983628,0
2015-04-13,8.700000,8.700000,8.700000,8.700000,7.956192,0
2015-04-14,8.750000,8.750000,8.750000,8.750000,8.001918,0
2015-04-15,8.780000,8.780000,8.780000,8.780000,8.029352,0
2015-04-16,8.780000,8.780000,8.780000,8.780000,8.029352,0
2015-04-17,8.690000,8.690000,8.690000,8.690000,7.947048,0
2015-04-20,8.700000,8.700000,8.700000,8.700000,7.956192,0
2015-04-21,8.760000,8.760000,8.760000,8.760000,8.011064,0
2015-04-22,8.780000,8.780000,8.780000,8.780000,8.029352,0
2015-04-23,8.820000,8.820000,8.820000,8.820000,8.065933,0
2015-04-24,8.850000,8.850000,8.850000,8.850000,8.093369,0
2015-04-27,8.910000,8.910000,8.910000,8.910000,8.148239,0
2015-04-28,8.890000,8.890000,8.890000,8.890000,8.129949,0
2015-04-29,8.830000,8.830000,8.830000,8.830000,8.075078,0
2015-04-30,8.760000,8.760000,8.760000,8.760000,8.011064,0
2015-05-01,8.790000,8.790000,8.790000,8.790000,8.038497,0
2015-05-04,8.790000,8.790000,8.790000,8.790000,8.038497,0
2015-05-05,8.680000,8.680000,8.680000,8.680000,7.937903,0
2015-05-06,8.710000,8.710000,8.710000,8.710000,7.965337,0
2015-05-07,8.700000,8.700000,8.700000,8.700000,7.956192,0
2015-05-08,8.900000,8.900000,8.900000,8.900000,8.139093,0
2015-05-11,8.850000,8.850000,8.850000,8.850000,8.093369,0
2015-05-12,8.820000,8.820000,8.820000,8.820000,8.065933,0
2015-05-13,8.880000,8.880000,8.880000,8.880000,8.120804,0
2015-05-14,8.940000,8.940000,8.940000,8.940000,8.175673,0
2015-05-15,8.970000,8.970000,8.970000,8.970000,8.203109,0
2015-05-18,8.940000,8.940000,8.940000,8.940000,8.175673,0
2015-05-19,8.940000,8.940000,8.940000,8.940000,8.175673,0
2015-05-20,8.960000,8.960000,8.960000,8.960000,8.193964,0
2015-05-21,9.020000,9.020000,9.020000,9.020000,8.248836,0
2015-05-22,8.950000,8.950000,8.950000,8.950000,8.184819,0
2015-05-26,8.810000,8.810000,8.810000,8.810000,8.056789,0
2015-05-27,8.890000,8.890000,8.890000,8.890000,8.129949,0
2015-05-28,8.880000,8.880000,8.880000,8.880000,8.120804,0
2015-05-29,8.780000,8.780000,8.780000,8.780000,8.029352,0
2015-06-01,8.760000,8.760000,8.760000,8.760000,8.011064,0
2015-06-02,8.810000,8.810000,8.810000,8.810000,8.056789,0
2015-06-03,8.870000,8.870000,8.870000,8.870000,8.111659,0
2015-06-04,8.770000,8.770000,8.770000,8.770000,8.020208,0
2015-06-05,8.650000,8.650000,8.650000,8.650000,7.910467,0
2015-06-08,8.640000,8.640000,8.640000,8.640000,7.901322,0
2015-06-09,8.600000,8.600000,8.600000,8.600000,7.864743,0
2015-06-10,8.760000,8.760000,8.760000,8.760000,8.011064,0
2015-06-11,8.790000,8.790000,8.790000,8.790000,8.038497,0
2015-06-12,8.740000,8.740000,8.740000,8.740000,7.992773,0
2015-06-15,8.670000,8.670000,8.670000,8.670000,7.928758,0
2015-06-16,8.670000,8.670000,8.670000,8.670000,7.928758,0
2015-06-17,8.680000,8.680000,8.680000,8.680000,7.937903,0
2015-06-18,8.730000,8.730000,8.730000,8.730000,7.983628,0
2015-06-19,8.720000,8.720000,8.720000,8.720000,7.974483,0
2015-06-22,8.890000,8.890000,8.890000,8.890000,8.129949,0
2015-06-23,8.900000,8.900000,8.900000,8.900000,8.139093,0
2015-06-24,8.860000,8.860000,8.860000,8.860000,8.102512,0
2015-06-25,8.860000,8.860000,8.860000,8.860000,8.102512,0
2015-06-26,8.840000,8.840000,8.840000,8.840000,8.084224,0
2015-06-29,8.600000,8.600000,8.600000,8.600000,7.864743,0
2015-06-30,8.560000,8.560000,8.560000,8.560000,7.828162,0
2015-07-01,8.620000,8.620000,8.620000,8.620000,7.883033,0
2015-07-02,8.620000,8.620000,8.620000,8.620000,7.883033,0
2015-07-06,8.490000,8.490000,8.490000,8.490000,7.764147,0
2015-07-07,8.450000,8.450000,8.450000,8.450000,7.727566,0
2015-07-08,8.330000,8.330000,8.330000,8.330000,7.617826,0
2015-07-09,8.450000,8.450000,8.450000,8.450000,7.727566,0
2015-07-10,8.690000,8.690000,8.690000,8.690000,7.947048,0
2015-07-13,8.770000,8.770000,8.770000,8.770000,8.020208,0
2015-07-14,8.830000,8.830000,8.830000,8.830000,8.075078,0
2015-07-15,8.810000,8.810000,8.810000,8.810000,8.056789,0
2015-07-16,8.880000,8.880000,8.880000,8.880000,8.120804,0
2015-07-17,8.870000,8.870000,8.870000,8.870000,8.111659,0
2015-07-20,8.870000,8.870000,8.870000,8.870000,8.111659,0
2015-07-21,8.850000,8.850000,8.850000,8.850000,8.093369,0
2015-07-22,8.780000,8.780000,8.780000,8.780000,8.029352,0
2015-07-23,8.780000,8.780000,8.780000,8.780000,8.029352,0
2015-07-24,8.700000,8.700000,8.700000,8.700000,7.956192,0
2015-07-27,8.650000,8.650000,8.650000,8.650000,7.910467,0
2015-07-28,8.720000,8.720000,8.720000,8.720000,7.974483,0
2015-07-29,8.760000,8.760000,8.760000,8.760000,8.011064,0
2015-07-30,8.750000,8.750000,8.750000,8.750000,8.001918,0
2015-07-31,8.800000,8.800000,8.800000,8.800000,8.047645,0
2015-08-03,8.810000,8.810000,8.810000,8.810000,8.056789,0
2015-08-04,8.780000,8.780000,8.780000,8.780000,8.029352,0
2015-08-05,8.830000,8.830000,8.830000,8.830000,8.075078,0
2015-08-06,8.780000,8.780000,8.780000,8.780000,8.029352,0
2015-08-07,8.750000,8.750000,8.750000,8.750000,8.001918,0
2015-08-10,8.850000,8.850000,8.850000,8.850000,8.093369,0
2015-08-11,8.760000,8.760000,8.760000,8.760000,8.011064,0
2015-08-12,8.700000,8.700000,8.700000,8.700000,7.956192,0
2015-08-13,8.700000,8.700000,8.700000,8.700000,7.956192,0
2015-08-14,8.700000,8.700000,8.700000,8.700000,7.956192,0
